A,B,C,D
3110,I've used Ottawa Shirt Printing for all my merchandise and I am beyond happy..Chris is extremely communicative and is very accommodating with all my needs..I would and will recommend them for anything and everything they do in the future..Would give 6 stars if I could.,Ottawa Shirt Printing,L
3111,"Recently placed an order, was delivered ahead of schedule right to my front door! Product quality was excellent and everyone loved their shirts.",Ottawa Shirt Printing,L
3112,"Chris at Ottawa Shirt Printing was great to work with. He had excellent communication throughout the entire process, had great recommendations for garments to use and delivered a quality product ahead of schedule. 10/10 would work with Chris at Ottawa Shirt Printing again.",Ottawa Shirt Printing,L
3113,"Even after multiple order changes on our end, Ottawa Shirt Printing ensured the order was correct and on time. The shirts are fantastic quality, and the logo looked great! We can't wait to wear them at our family reunion. I highly recommend this vendor if you are looking for great quality, speed and efficiency. They always got back to me within the hour if I had an order change or a question, which was a huge help.",Ottawa Shirt Printing,L
3114,"My experience with Ottawa Shirt Printing was amazing. They were responsible, had great suggestions for products and the items arrived earlier than expected. Can't recommend them enough!",Ottawa Shirt Printing,L
3115,"I ordered some T-shirts and a few Sweat shirts for my business.
The sizes chosen were a true fit and the quality is amazing.
I gave them a few pictures to create a logo for me. I was impressed.
I will recommend this company to many of my self employed friends.
Thank you for the great work and fast delivery,
Jesse Roy",Ottawa Shirt Printing,L
3116,"If you're looking for good quality and a great price, look no further! Our business recently bought 25+ plus shirts from Ottawa Shirt Printing, and our experience could not have been better. They were polite, professional, and honest. We recommend them over and over. Thank you Ottawa Shirt Printing!",Ottawa Shirt Printing,L
3117,"I had a great experience with Ottawa Shirt Printing..I needed t-shirts printed within a tight timeline, and Chris was very helpful in answering all my questions and delivering my order earlier than expected..I would definitely work with the shop again and recommend it to others.",Ottawa Shirt Printing,L
3118,"Very happy with the service I received from Ottawa Shirt Printing..The Gildan soft shirt was exactly what I wanted, graphics and print was as expected..Will be using them again for our next order..My only caution is when selecting colour, make sure you get the exact colour you want!.The colour on the screen doesn't 100% match the colour you receive..Overall, very satisfied!",Ottawa Shirt Printing,L
3119,Awesome embroidered hats. The black is very saturated & dark which looks great..Our logo looks perfect!.A bit of a delay on the original delivery timeline but they rushed it out to make sure we had it in time.,Ottawa Shirt Printing,L
3120,"Great quality shirts (not the kind that you fold three times and they're still thin as paper), the artwork looks great and the customer service is outstanding. Chris would go above and beyond to ensure everything is perfect. I recommend this business to everyone who needs a custom-made shirt and I'll definitely order from Ottawa Shirt Printing again.",Ottawa Shirt Printing,L
3121,"We ordered many custom t-shirts for our Space Apps Ottawa event. They were responsive, followed up with us to make sure they arrived in time for our event, and the design and quality are great. We're very happy with our t-shirts and the service.",Ottawa Shirt Printing,L
3122,It is hard to just emphasize one attribute of this wonderful company that hands-down completed a large and detailed order due to all the customizations and multiple communications with exceptional professionalism and competence..I get incredible feedback regarding.the orange shirts they made in several sizes and languages for our orange shirt fundraiser to advance Indigenous reconciliation in terms of the look and quality of the original print by Traditional Teacher and Artist Albert Dumont..Chris was also relentlessly in actually finding me orange shirts despite huge demand and shortages everywhere..Always calm and easy to communicate with even when I was sometimes a little stressed out! Highly recommend if you are looking for any orders!,Ottawa Shirt Printing,L
3123,"ok, not only are the fast. But i have worked with many T-shirt printing and embroidery places. this place is HANDS DOWN the best experience i have ever had. Product is produced quickly, response time is timeless, and the work itself on the product is so professional! Their selections are great and offer a mass variety of accessories and clothing it multiple styles/colours. totally coming back!",Ottawa Shirt Printing,L
3124,Highly recommend this company to anyone. I received my order a week earlier than projected. Everything was exactly as described and the pricing was very competitive. Customer service was speedy and co-operative. Thank You Ottawa Shirt Printing!,Ottawa Shirt Printing,L
3125,Needed some shirts for my business and they turned out great!,Ottawa Shirt Printing,L
3126,Ottawa Shirt Printing did a great job getting our order of T-Shirts ready for the Ottawa Regional Science Fair..They communicated regularly with us to ensure that our artwork was correct and that the sizes and numbers were exactly what we needed for the event. They even had our order delivered for us! This was our first time ordering from Ottawa shirt Printing and I can see us continuing with their services next year.,Ottawa Shirt Printing,L
3127,"Although I originally had a negative initial experience they reached out to me offering a solution with the intent to meet my needs. They came through and provided me with a great product at a reasonable price and were committed to ensuring I was satisfied with the overall service. I would like to recommend more transparent pricing, and in doing so they would likely stand out from their competitors as it seems no printing & embroidery business in Ottawa currently provides pricing estimates to their clients up front.
I appreciate the time Chris took to reach out to me and ensure I was happy with the results of their service. I will come back to them for business in the future.",Ottawa Shirt Printing,L
3128,We loved the t-shirts! They looked even better than we expected. We are very pleased and would recommend Ottawa Shirt Printing to anyone. A pleasant experience dealing with them and they delivered on time. Give them a call and see for yourself.,Ottawa Shirt Printing,L
3129,"Chris was great at Ottawa Shirt Print!
Got our merchandise printed and delivered unbelievably fast!
Will be using them again soon",Ottawa Shirt Printing,L
3130,Couldn't be happier with my experience with ottawa shirt printing. They were extremely responsive and the quality of product blew us away. we use them for all the merchandise for our store and are only ever going to be using them,Ottawa Shirt Printing,L
3131,I had four shirts made for four close friends. We had an event in which we discussed a future game we all plan to play together. 4 shirts with Conan the Barbarian on them and a bottle of Crystal Head Vodka. What could go wrong? Well the guys loved the shirts! Thanks for the speedy custom order as well. Amazing service and product!,Ottawa Shirt Printing,L
3132,"First time using Ottawa Shirt Printing and had a fantastic experience. I ordered a small batch of 60 t-shirts for my non-profit organization and the team at Ottawa Shirt Printing gave some great advice on the colour of shirt I should print my logo on, the final product turned out looking a lot better than I had anticipated. Prices are very competitive and will definitely use them again for my next purchase.",Ottawa Shirt Printing,L
3133,I shopped around for a quote before proceeding with my order for custom printed tote bags and Ottawa shirt printing offered me the best price. Very happy with how the printing turned out and good quality tote bags. I would recommend Ottawa shirt printing for custom printing of logos.,Ottawa Shirt Printing,L
3134,I have had multiple orders done by Ottawa Shirt Printing. Chris is quick to answer any questions and is happy to help. I've changed the orders each time between the payment and actual print. They have never made a big deal of it and are happy to help.,Ottawa Shirt Printing,L
3135,"Great customer service, quote and order done online and through email, made for a very convenient process. Love how the t shirt turned out, great selection in shirt colours, would have given 5 stars if I knew they were made so huge I would have chosen a different size and now it's too late :(

**update** since my review, they offered to make me another shirt in the size that works better and I couldn't be happier with the customer service..I was able to pick up the new shirt asap and they told me to keep the original as well. I will recommend them to everyone!",Ottawa Shirt Printing,L
3136,"Amazing turnaround on orders, the quality of service is stellar. Great selection of fabrics and will absolutely do business with them again. 10/10!
They did a wonderful job with the print job. Highly recommend.",Ottawa Shirt Printing,L
3137,Great service! They were quick to turn around the graphic and the shirt order. The shirts are bright and well printed. They even changed my delivery address the day of because I was staying late at work. I will definitely order with them again.,Ottawa Shirt Printing,L
3138,This Spring was the second time I have gotten our company shirts printed through Ottawa Shirt Printing. Super easy to deal with and the drop off of the finished shirts to my doorstep was a huge bonus. The quality of the printing is by far the best I have seen. I have tried a few other different print places but none of them held up to the sun and regular washing as well as these did. Really great quality at a reasonable price.,Ottawa Shirt Printing,L
3139,"It was great doing business with Ottawa Shirt Printing. They were very quick to reply to my questions, the drafts they sent of the shirts were accurate and provided enough detail, and the final product was great! Chris was extremely helpful in making sure we received our order in time on a tight deadline. Definitely plan on ordering from them again in the future.

UPDATE 2021: Another order with Ottawa Shirt Print and am still just as pleased with the service!",Ottawa Shirt Printing,L
3140,Submitted a large order and got it within about two weeks. Great quality t shirts and embroidered hats. Also very responsive via email. Will definitely order for them again!,Ottawa Shirt Printing,L
3141,"This is the first time I used Ottawa Shirt Printing for GCTC's lawyer play t-shirts and I am very happy that I did. Excellent service, quality product at an affordable price, quick delivery and just a pleasure to deal with. Kudos to Chris and his team for the job well done!",Ottawa Shirt Printing,L
3142,Chris and the Ottawa shirt printing shop is the best at what they do from customer service to products and even quick delivery. I have used the Ottawa shirts printing for hockey practice jerseys and work staff shirts and I don't plan on looking elsewhere as the price and service is spot on every time..Thanks again!,Ottawa Shirt Printing,L
3143,"I've placed several large (150-200 units) orders with Ottawa Shirt Printing, and Chris has been unfailingly helpful & patient in providing support every step of the way. Highly recommended.",Ottawa Shirt Printing,L
3144,"The t-shirts are amazing, and exactly what I was looking for. The quality is very high compared to the price I paid, and I will definitely be using your services in the future. Even the slight delivery issue (completely out of the seller's hands) was sorted out quickly and professionally by them. I had an extremely tight and critical deadline and I don't know if I could have achieved this result with anyone else.",Ottawa Shirt Printing,L
3145,"I provided them with 35 toddler rain suits to silk screen on and the end result is amazing! The quote response was really fast and the price was great!
The design is crisp and perfectly screened on, I really couldn't be happier with this! I can't wait for rainy days with my toddler friends! ☔️ Thanks again!",Ottawa Shirt Printing,L
3146,"Great experience ordering from Ottawa Shirt Printing! The shirts I ordered.turned out great, above my expectations! The order was completed faster than I expected. I highly recommend this place!",Ottawa Shirt Printing,L
3147,"Had an amazing experience dealing with Ottawa Shirt Printing. I needed a rush order of shirts for the groomsmen for a stag & doe. Found the website on google, sent an email as it was after they closed. To my surprise, the owner emailed me back that night. We were able to figure out the details over email, and had the shirts in 2 days. The quality of the shirts were better then I expected and the price was very reasonable. I will be back for some bachelor party shirts, but will give you a few extra days notice this time!",Ottawa Shirt Printing,L
3148,We had a very good experience working with Ottawa Shirt Printing. Chris was very responsive to our needs and even with a few glitches on the day of delivery came through in spades. Would highly recommend.,Ottawa Shirt Printing,L
3149,"Great communication, Fast printing, Great quality! I will be using these guys again and again! Thank you all for your work! Oh, and Delivery! SUPER Fast~! Thank your driver for me please!",Ottawa Shirt Printing,L
3150,Ottawa Shirt Printing were amazing!.They were easy to communicate with and flexible with our demands..Our products came out better than we had expected too!,Ottawa Shirt Printing,L
3151,"I've dealt with this company 10 times now. EXCELLENT customer service, the prices are more then fair, quality of the shirts last exceptionally longer and the final product surpasses any other company I've dealt with . If you need custom shirts I vouch for them. Looking forward to dealing with them in the near future.",Ottawa Shirt Printing,L
3152,Very happy with the print quality and they delivered my order ahead of schedule. Not my first time looking for ottawa t-shirt printing but the last place I was using closed so I switched to Ottawa Shirt Printing and am very happy with my new t-shirt printer.,Ottawa Shirt Printing,L
3153,"I recently had shirts made for my father-in-laws 60th birthday. We ordered them on Saturday and they managed to have them ready by Tuesday evening (which was considered a rush order). There was a mistake with how the shirts were printed (there was no ""h"" on 60th birthday, so it read
""60 t birthday""). However, we brought it back to the place where we picked them up in Carlingwood mall and they fixed this within an hour, and were very apologetic.

Chris gave excellent customer service - he was responsive, patient and flexible. We are pleased with how the shirts came in, even better than what we expected.

My only other comment would be that the women's V-neck shirts fit on the smaller side. In street-clothes I'm typically a XS or S, and I ordered a Medium which fit perfectly. The men's crew neck shirts were true to size.

Overall, would highly recommend! Great work.",Ottawa Shirt Printing,L
3154,I've ordered shirts and sweaters from this company with various designs and they delivered them flawlessly. I am sure to look them up next time I have a shirt that needs to be printed in the Ottawa area.,Ottawa Shirt Printing,L
3155,"So easy to get a bulk order with custom colours (we got 100 tshirts in two different colours with two different collar types, a single logo in a single colour). Tshirt material is nice and soft, delivery is on time and quite convenient! Good quality, good service, good price. I will return to Ottawa Shirt Printing for a third year next year!",Ottawa Shirt Printing,L
3156,"This Shirt manufacturing company has amazed me time and time again. The service offered here is unfindable anywhere in Ottawa in regards to this industry, they tallor to your every needs, even after hours. I have ordered everything from team jersey's to personal clothings and have been satisfied with every purchase.

Would recommend to anyone! 5/5",Ottawa Shirt Printing,L
3157,"Our organization is satisfied with our custom T-shirt's printed by Ottawa Shirt Printing. The shirts were printed with attention to detail, and the shipment was delivered within 24 hours of completion. Thank you!",Ottawa Shirt Printing,L
3158,"Just received my third order of high quality shirts, tank tops and hoodies. The quality has exceeded my expectations and the expectations of my customers. This is one reason why I am a re-occurring customer.

Other key attributes:

- Affordable
- Quick to respond
- Provides different options / suggestions
- Always early

My last order was responded to / quoted / customized / ordered / printed and delivered in less than 48 hours. I had a personal deadline and it was met.

5 Stars.",Ottawa Shirt Printing,L
3159,"Great colour choices, can print on front and back, and do small runs at a very reasonable price. Shirts are good quality and hold up well in the wash - no flaking of the print. Shirts made quickly and easy to pick up. Very pleased and will use them again in the future.",Ottawa Shirt Printing,L
3160,"I needed a very specific, relatively small order, very quickly. Chris was helpful and professional. My order was perfect and arrived ahead of schedule. I am very satisfied!",Ottawa Shirt Printing,L
3161,"The quality and service is good! Chris was very helpful in choosing the fabric,style and colour by understanding my requirement.",Ottawa Shirt Printing,L
3162,"Excellent experience..Extremely helpful..I loved being able to review the design on the shirt before they were printed, as that step really helped me picture the final product.

When I got the t-shirts, they looked even better than the imagine provided to me before I confirmed..High quality t-shirts, print looks high quality as well..I had high expectations and I ended up with a set of t-shirts that surpassed my expectations.

Thanks a million!",Ottawa Shirt Printing,L
3163,"My wife order Tshirts at last minute for my Sons walk for Crohns
The company was amazing they worked with my wife design and gave us quality tshirts with beautiful design in time for our walk

I highly recommend this printing company
We gladly do business with them in future",Ottawa Shirt Printing,L
3164,"Ottawa Shirt Printing was able to fill my small order of custom shirts in a short period of time. My teammates are super happy with the quality, look and feel..Thank you to Chris!",Ottawa Shirt Printing,L
3165,"Great shirts, very reasonable to work with - finished ahead of schedule - communication was clear and everything worked out well..The order came in exactly how requested, correct sizes, logos and quality.",Ottawa Shirt Printing,L
3166,"Have been purchasing from Ottawa shirt printing for quite a while now and have never had an issue, had a 150 shirt order with zero complications or errors. Literally perfect. Will continue to do business with them.",Ottawa Shirt Printing,L
3167,Ottawa shirt printing did an amazing job dealing with a large rush order and delivered to my front door promptly. The shirts were great quality and I look forward to ordering from them again.:),Ottawa Shirt Printing,L
3168,HUGE thank you to Ottawa Shirt Printing. They were flexible and went the extra mile to accommodate the needs of our student organization. Thank you again to your team and Chris!,Ottawa Shirt Printing,L
3169,Great design and quality printing. Chris is a pleasure to work with and will give you a great deal. I highly recommend for your shirt printing needs!,Ottawa Shirt Printing,L
3170,We're a small startup based in Ottawa and needed some new t-shirts for an upcoming conference. The team at Ottawa Shirt Printing were prompt on their replies and able to prepare and deliver our order on short notice. Cheers!,Ottawa Shirt Printing,L
3171,"We purchased shirts for an OSSC sports team, and Chris at OSP went the extra mile to deliver the shirts before our first game of the season, despite us taking too long to get our act together and ordering a little bit late. Thanks for your efforts guys! Shirts look great, and win or lose, now we will to!",Ottawa Shirt Printing,L
3172,"I've ordered with OSP several times now and the company is extremely accommodating. Their product is well made, super comfortable and always comes just the way you want them! Whenever I need swag, I only go to OSP!",Ottawa Shirt Printing,L
3173,"Chris was a pleasure to deal with, we needed them as a team booster at work and everyone loves them! Not only did they turn out great, he was days early on the delivery, would definitely recommend this company!",Ottawa Shirt Printing,L
3174,"Fast, efficient, good turnaround and great service. Pricing is competitive and we continue to order all of our company clothing from them.",Ottawa Shirt Printing,L
3175,Chris was a pleasure to work with! The service and quality was great and I will definitely be back to order more shirts in the future. Thank you for your help with printing volunteer shirts for our event!,Ottawa Shirt Printing,L
3176,"Chris and the team were great to work with. They didn't just take our order, they worked with us to help make our event a success. The shirts were a big hit!",Ottawa Shirt Printing,L
3177,"We realized on a Monday that we needed shirts for that Friday. Chris and his team came through, and the finished products exceeded our expectations! Will definitely order from them again!",Ottawa Shirt Printing,L
3178,Chris and the team were fantastic!.We had a very compressed time line and we got our t-shirts exactly when we were told we would (and they looked great)..I would highly recommend Ottawa Shirt Printing to anyone.,Ottawa Shirt Printing,L
3179,Chris was very easy to deal with and responsive to what we needed. Are small business is very happy with the work they did and we will be going back for more.,Ottawa Shirt Printing,L
3180,"Excellent customer service and turned out good quality t-shirts within a short time frame.

Will use your services again. Thanks for the great shirts!",Ottawa Shirt Printing,L
3181,Very good service and came through on time even with worldwide and Canadian shipping and supply chain issues issues..Highly recommended.,Ottawa Shirt Printing,L
3182,"Amazing! this is by far the best experience i had with shirt printing and design, it was quick and easy this company went above and beyond to make sure i was satisfied! this is my new shirt supplier from here on.",Ottawa Shirt Printing,L
3183,"Came in with a crazy idea for a surprise bachelorette party. The team at Ottawa shirt printing that I worked with were exceptional and friendly, and helped with ideas where I was lost. Not only did they deliver the rush order with seeming ease, but the shirts look better than I even dreamed! Now to wait patiently for the party to show these beauties off.",Ottawa Shirt Printing,L
3184,Great service from these guys - I've used a few print shops in Ottawa and I will definitely be sticking with Ottawa Shirt Prining from now on. Prices are great and they delivered the order right to my door.,Ottawa Shirt Printing,L
3185,I ordered a bunch for my company. Both the shirts and the logos are great quality. Nice and comfortable fit as well. I plan on using them again for sure!,Ottawa Shirt Printing,L
3186,Chris was amazing! I didn't know much about tshirt design but Chris helped me through the whole process and it was effortless. The tshirt came out great and super quick too! Would highly recommend!,Ottawa Shirt Printing,L
3187,"Highly recommend! I had team jerseys done and was extremely happy with the quality. Great customer service and very competitive pricing.

Pleasure to deal with!",Ottawa Shirt Printing,L
3188,"Customer service was great, shirts took almost no time to make and came out perfect. Chris kept me informed and made the process one of the easiest things I've had to do this summer.",Ottawa Shirt Printing,L
3189,BEST. CUSTOMER. SERVICE. AND QUALITY DESIGN/PRODUCTS! Couldn't have went with a better custom shirt printing vendor. Thanks again Kris and looking forward to my next purchase ! ;),Ottawa Shirt Printing,L
3190,"Quick, friendly and professional service. Ordered shirts for a bachelorette party and they turned out great! Would definitely recommend Ottawa Shirt Printing",Ottawa Shirt Printing,L
3191,"We received our order within a week, great condition and good prices I would highly recommend this company. .",Ottawa Shirt Printing,L
3192,"very happy. Had a difficult order - lots of back and forth, but these guys were extremely accomodating and timely throughout. great price, and awesome product. Thanks so much, we will be back!",Ottawa Shirt Printing,L
3193,Excellent service. Needed urgent same day tshirt prints and I was able to do it all online and picked up in a few hrs. Customer service and convenience was 100%. Highly recommended,Ottawa Shirt Printing,L
3194,The shirts were exactly what we asked for. Correspondence with the company was timely and delivery was on time. I would definitely use them again and have confidence in their service!,Ottawa Shirt Printing,L
3195,"Ottawa Shirt Printing maintained good dialogue during the process, was able to meet my demands for a speedy turnaround, and the shirts we had printed for a friend's birthday party were a big hit.",Ottawa Shirt Printing,L
3196,I made a team order and received very helpful design assistance and an order that was filled quickly and appreciated by all..Highly recommended!,Ottawa Shirt Printing,L
3197,"Very happy with our items we got through this company!
Order was ready in just a few days!",Ottawa Shirt Printing,L
3198,Great pricing and great customer service. I had to change my design couple of times and they patiently altered the order for me. Definitely recommend!,Ottawa Shirt Printing,L
3199,Had an excellent experience with Ottawa Shirt Printing and the result and quality were perfect. Thank you Chris and the team!,Ottawa Shirt Printing,L
3200,"Price and service were excellent, shirts look great!.Would recommend and use again.",Ottawa Shirt Printing,L
3201,"Really great service, very responsive to questions and give useful guidance on sizing. The final shirts replicated our design perfectly.",Ottawa Shirt Printing,L
3202,Overall happy with the shirt and print quality. Communication by e-mail was quick and they were able to take my rush order.,Ottawa Shirt Printing,L
3203,"Excellent and timely communication, superb work. It's so good to now have a local supplier I can count on.",Ottawa Shirt Printing,L
3204,"been calling in to ask question regarding about a small custom embroidery, quote etc for a few weeks but no one ever picks up the phone nor responded to my voicemail. Does not look like this place has a physical location. Business is hard to reach.",Ottawa Shirt Printing,L
3205,The owner Chris was more than professional. Great service and delivery of the product was sooner than expected. Thanks I will use OSP again for my next order.,Ottawa Shirt Printing,L
3206,Great service. My order was delivered on time and the product was high quality. Very responsive and friendly! Would definitely recommend to anyone.,Ottawa Shirt Printing,L
3207,"Great experience, very professional. Quick service on a rush order (<72 hours from event) and it came out great! Would definitely use again.",Ottawa Shirt Printing,L
3208,"Response time was fast, communication was very easy. The quality of prints we received are far superior to any other printing service used in the past.",Ottawa Shirt Printing,L
3209,"Great costumer service, fast delivery and #1 printing quality. Looking forward for next order! A BIG THANK YOU from our team.

Nino Flooring",Ottawa Shirt Printing,L
3210,Chris was very helpful and responsable. Delivery was make on time with a good print quality..I highly recomend them!,Ottawa Shirt Printing,L
3211,"The printing was of very high quality, as were the shirts themselves. Customer service was excellent as well. OSP was a pleasure to work with.",Ottawa Shirt Printing,L
3212,"Ottawa Shirt printing is always a pleasure to deal with, great customer service,.great pricing and great products. Recommend to everybody.",Ottawa Shirt Printing,L
3213,We just received our order and couldn't be happier..Chris was great to work with supper accessible and answered all our questions right away.,Ottawa Shirt Printing,L
3214,My organization had OTS design and print our shirts. Chris understand what we wanted and delivered the design we were looking for. thank you again,Ottawa Shirt Printing,L
3215,Absolutely stellar experience! Very patient customer service as we requested several quotes before finally ordering. Fast turn around too!,Ottawa Shirt Printing,L
3216,Great design and printing service. Created a drawing from a not very high quality picture and the design looks great. Fast service as well,Ottawa Shirt Printing,L
3217,"Great Service, happy with the quality of the print, did a custom job for 3 shirts 1 hoodie and fleece crew neck. Would use again.",Ottawa Shirt Printing,L
3218,Excellent service with a fast turnaround time and speedy delivery to your door! Not to mention top quality product. I will definitely order from them again and recommend them to my friends.,Ottawa Shirt Printing,L
3219,"I worked with Chris from OPS..I was very happy with the service, the quality of the shirts, and how quick the process was.",Ottawa Shirt Printing,L
3220,"OSP was so communicative and accommodating, they quality of the helpful staff and their products are best I've seen. Will be working with them in the future 100%!",Ottawa Shirt Printing,L
3221,Delivered order very quickly and met our needs perfectly.,Ottawa Shirt Printing,L
3222,Ordered two rounds of masks with my company logo. Very satisfied with service and prompt delivery!,Ottawa Shirt Printing,L
3223,"There were a few issues to say the least but in the end, Chris made sure that we were satisfied and helped us with our order.",Ottawa Shirt Printing,L
3224,"Affordable, punctual, and extremely professional.
Would highly recommend these guys to anyone looking to get custom shirts printed.",Ottawa Shirt Printing,L
3225,Great prices and very fast turnaround! We were extremely happy with results! Thank you again for the fantastic service,Ottawa Shirt Printing,L
3226,Very good shirt quality and print quality for custom tshirts. Will order more again and try the embroidery next time for polos.,Ottawa Shirt Printing,L
3227,"Awesome customer service, responsive and great shirt/sweater quality. Highly recommend!",Ottawa Shirt Printing,L
3228,"Excellent products and service..My staff love the shirts, hats and wind breakers.

Keep up the great work",Ottawa Shirt Printing,L
3229,"Very attentive service, very helpful as it was my first time using the company.Chris was very helpful and professional and I will be doing my buisness with them from now on.",Ottawa Shirt Printing,L
3230,"Quick, friendly service..Really easy to work with..Finished product is great quality and just what we were looking for.",Ottawa Shirt Printing,L
3231,"Fantastic group of people had a quick last minute requirement, and they were able to put it together. The screen printing quality was terrific. Thx",Ottawa Shirt Printing,L
3232,Awesome service and great quality!.I was last minute and within 24 hours everything was done and ready..I totally recommend doing business with them!,Ottawa Shirt Printing,L
3233,Great quality shirts. Fast production..Great price. Will use this company for any future printing needs.,Ottawa Shirt Printing,L
3234,"Amazing fast service, with great quality!",Ottawa Shirt Printing,L
3235,I was really impressed with the quality of the logo. I feared a potential shrinking (i.e. 100% cotton). A friend washed a few and he's happy with the results.,Ottawa Shirt Printing,L
3236,Highly recommend Ottawa Shirt Printing..Awesome service from start to finish and great product to top it off.,Ottawa Shirt Printing,L
3237,Excellent customer service and quality!.We pretty much sent them the most ridiculous design we had and they still nailed it!,Ottawa Shirt Printing,L
3238,"Great customer service! Great communication! And most importantly, GREAT T-SHIRTS!

- A Returning Customer :)",Ottawa Shirt Printing,L
3239,"The quality of the t-shirt's was good, and the communication with the staff was easy and they respond within the hour.",Ottawa Shirt Printing,L
3240,Very happy with the shirts they made for my soccer team!,Ottawa Shirt Printing,L
3241,Very quick and eager to please. Was my first time working with them and it was perfectly effortless. I will come again!,Ottawa Shirt Printing,L
3242,"Excellent product and service! Thank you again, Chris!",Ottawa Shirt Printing,L
3243,"Great customer service, and super-fast delivery. Handled my constant waffling about quantity and materials with aplomb.",Ottawa Shirt Printing,L
3244,Used Ottawa Shirt Printing for company merchandise. Great quality and communication!,Ottawa Shirt Printing,L
3245,"Chris took a last minute idea, and made it happen on time, and within my budget! Great quality and local!",Ottawa Shirt Printing,L
3246,"Last minute order done swiftly and on time, shirts are great, ppl are great to deal with.",Ottawa Shirt Printing,L
3247,They are quick and very helpful! Get your tshirt you want with their expert help,Ottawa Shirt Printing,L
3248,Worked fast and efficient. Our needs were met as promised.,Ottawa Shirt Printing,L
3249,"Amazing service, great quality! I will be continuing to order from them!",Ottawa Shirt Printing,L
3250,"Thank you, Chris, for your great support! Excellent prices and responsiveness!",Ottawa Shirt Printing,L
3251,Great quality! Great service! Recommended for printing t-shirts,Ottawa Shirt Printing,L
3252,"Great product, fast service! Now my go-to company for custom shirt orders!",Ottawa Shirt Printing,L
3253,Absolutely amazing from start to finish. definitely will be doing business again. thank you.,Ottawa Shirt Printing,L
3254,"Great service, easy to work through details with, fast response & reasonably priced.",Ottawa Shirt Printing,L
3255,"Great quality, fast service, and delivery right to my door..Couldn't be happier.",Ottawa Shirt Printing,L
3256,"Great customer service, quick delivery, A+++ product. Strongly recommend!",Ottawa Shirt Printing,L
3257,"I was really impressed with the quality of the product, the courteous service and the speed of the delivery.",Ottawa Shirt Printing,L
3258,"Very professional communication, quick service, and the product looks great!",Ottawa Shirt Printing,L
3259,"Quick, professional, and helpful in selecting one of the the many available t-shirts.",Ottawa Shirt Printing,L
3260,"Great service, great product, will definitely use again!",Ottawa Shirt Printing,L
3261,"Incredible service, great quality and amazing all around great experience!",Ottawa Shirt Printing,L
3262,"Amazing customer service, sweatshirts came out perfectly and quick turnover.",Ottawa Shirt Printing,L
3263,Great service and quality of the printing. Would definitely recommend!,Ottawa Shirt Printing,L
3264,"Great quality imprint, quick turn-around and good customer service.",Ottawa Shirt Printing,L
3265,Fast friendly service with excellent turnaround time.,Ottawa Shirt Printing,L
3266,very happy with the screen printing and great customer service,Ottawa Shirt Printing,L
3267,Excellent work at great prices. I do recommend it,Ottawa Shirt Printing,L
3268,"Had to wait quite awhile, but the shirts are amaaaazing quality!",Ottawa Shirt Printing,L
3269,Don't hesitate to do business with them!,Ottawa Shirt Printing,L
3270,Quick response to my inquiry and great product.,Ottawa Shirt Printing,L
3271,"very fast, responsive and flexible.",Ottawa Shirt Printing,L
3272,Great results and fast turn around!,Ottawa Shirt Printing,L
3273,"Nice fellow, no nonsense, and really great shirts.",Ottawa Shirt Printing,L
3274,Fast and efficient service..Will go back!,Ottawa Shirt Printing,L
3281,"Good service, listening for the art work, delivery on time, I ordered 24 Gildan500 t-shirts with 2-color printing on the front in small and on the back in large, it comes to about $21 per t-shirt in total with the art work and tax understood. good quality t-shirt and good printing. Thank you",Ottawa Shirt Printing,L
3282,"I was looking all over for a place to do a VERY short notice run of 35 shirts for a special event for my company. Terry at Ottawa Custom Clothing was the only person who was willing to take on my order. Even though the original artwork I sent him needed to be updated he still had my order complete and shipped in the appropriate time and I received them before the event with time to spare! I am very pleased with my purchase and recommend this business, I will order again.",ottawacustomclothing,M
3283,"Initially good service but then no updates or notices when product was mailed out even after I emailed them for updates. Package was missing a shirt and now they are not answering my emails or calls. Do not order from them.

Update: after posting this review I was contacted to fix the mistake by another employee. I was hopeful at first but they are no longer answering emails asking for an update or refund (it's been a month since I heard from them). Don't shop here, not worth the effort to get what you paid for.",ottawacustomclothing,M
3284,"I put in a test order of $75 because of the negative reviews on Google. Sure enough, I had a bad experience.

Their budget went into the website to give it a professional design and features but all other aspects of this company are poor to say the least.

Customer service is either unresponsive or evasive. I didn't receive an e-mail (with tracking) when the items shipped, they just. shipped it. Prior to that, I've asked to do local pick up, was told yes, and they shipped it anyways. They used a Purolator bag to ship through Canada Post (not a big deal but rather strange).

I got the custom shirts and the quality is low compared to what you'd get elsewhere.

Save yourself the trouble, I went through it so you don't have to. You're welcome.",ottawacustomclothing,M
3285,"Never answers their calls or emails.

Ended up being over 50$ for two plain white t shirts with 1 logo on the front

Was supposed to come on Feb 3, ordered on january 18. we had to call them to remind them to ship it out. It finally came on Feb 10th. And they are the wrong sizes

Ridiculous",ottawacustomclothing,M
3286,"Client service is amazing! Super friendly team, great product quality, and overall such an enjoyable company.
Way better than ordering from big chain manufacturers, you get to actually work with real people. If I could, I'd give 6/5 stars ⭐️",ottawacustomclothing,M
